course,section,relative_path,ext,size_bytes,pdf_pages,ocr_used,text_words,token_count,has_text,top_tokens,topics
infi,(root),.DS_Store,,6148,,False,0,0,False,,
infi,(root),CALCULUS_1_LECTURE_BY_LECTURE.md,.md,30203,,False,5082,2381,True,lecture;lim;key;theorem;all;continuous;group;function;rule;point,רציפות;נגזרות;גבולות;אינטגרלים;sup_inf
infi,(root),CALCULUS_1_QUICK_REFERENCE.md,.md,8155,,False,1402,567,True,theorem;lim;cos;rule;sin;lectures;sec;integration;csc;value,נגזרות;אינטגרלים;רציפות;גבולות;sup_inf
infi,(root),CALCULUS_1_THEOREMS_DEFINITIONS_LEMMAS.md,.md,22158,,False,3742,1688,True,lecture;lim;group;theorem;continuous;rule;theorems;main;topics;pdf,רציפות;נגזרות;אינטגרלים;גבולות;sup_inf
infi,(root),README_analysis.txt,.txt,4073,,False,315,234,True,בחינות;analysis;moed;pdf;דפוסים;html;ניתוח;בבחינות;ניתן;ישירות,רציפות;sup_inf;גבולות
infi,(root),analysis_moed_b_2026.html,.html,57213,,False,4049,3314,True,strong;div;class;שאלה;בחינה;box;color;margin;אי;sup,sup_inf;נגזרות;גבולות;רציפות
infi,(root),analysis_moed_b_2026.md,.md,26038,,False,3169,1803,True,שאלה;בחינה;sup;אי;inf;בבחינות;דיפרנציאביל;רציונלי;lim;הוכח,sup_inf;נגזרות;גבולות;רציפות
infi,(root),cheatsheet_moed_b.pdf,.pdf,4641,1,False,564,279,True,exams;lec;pattern;lim;exists;identical;cont;diff;proof;eps,נגזרות;sup_inf;רציפות;גבולות;אינטגרלים
infi,(root),cheatsheet_moed_b_heb.pdf,.pdf,54427,1,False,427,254,True,שאלה;מבחנים;תבנית;הרצאה;אי;רציפות;זהה;משפט;רציונלי;סבירות,רציפות;נגזרות;sup_inf;גבולות
infi,(root),critical_theorems_moed_b.html,.html,35556,,False,2642,2287,True,div;class;span;source;strong;item;label;border;font;padding,גבולות;נגזרות;sup_inf;רציפות
infi,exam,exam/.DS_Store,,6148,,False,0,0,False,,
infi,exam,exam/ExamA2022_solutions.pdf,.pdf,72334,4,False,2426,946,True,such;every;let;exists;there;solution;points;suppose;contradiction;continuous,sup_inf;רציפות;גבולות
infi,exam,exam/ExamA_calculus1_2024_sol.pdf,.pdf,65510,4,False,1429,546,True,lim;let;points;prove;such;suppose;solution;every;deleted;neighborhood,sup_inf;רציפות
infi,exam,exam/ExamA_calculus1_2025_solution.pdf,.pdf,74820,5,False,1523,570,True,points;exists;there;every;sup;solution;let;which;such;prove,sup_inf;רציפות
infi,exam,exam/ExamB2022_solutions.pdf,.pdf,74795,4,False,2335,933,True,such;exists;there;lim;let;solution;points;every;differentiable;you,sup_inf;רציפות;נגזרות
infi,exam,exam/ExamB_calculus1_2024_sol.pdf,.pdf,68473,4,False,1646,604,True,lim;points;every;such;let;solution;prove;bounded;exists;there,sup_inf;רציפות
infi,exam,exam/ExamB_calculus1_2025_Solution.pdf,.pdf,76109,4,False,1608,563,True,points;exists;there;such;every;solution;let;prove;lim;suppose,sup_inf;רציפות
infi,exam,exam/MoedA_2023_eng_sol.pdf,.pdf,77304,4,False,1771,592,True,such;points;there;exists;every;solution;let;suppose;prove;continuous,sup_inf;רציפות;נגזרות
infi,exam,exam/MoedB_2023_eng_sol.pdf,.pdf,68044,4,False,1683,653,True,lim;points;every;let;solution;exists;exist;function;such;does,sup_inf;רציפות
infi,hw,hw/.DS_Store,,6148,,False,0,0,False,,
infi,hw,hw/Exercise 1 solution.pdf,.pdf,71813,5,False,1750,553,True,points;solution;such;let;there;every;coprime;exists;prove;suppose,sup_inf
infi,hw,hw/Exercise 10 solution.pdf,.pdf,74869,5,False,2071,592,True,every;there;exists;such;continuous;lim;points;solution;prove;let,רציפות;sup_inf
infi,hw,hw/Exercise 11 solution.pdf,.pdf,83947,7,False,2096,567,True,lim;differentiable;every;points;solution;let;exists;there;such;therefore,sup_inf;רציפות;נגזרות
infi,hw,hw/Exercise 12 solution.pdf,.pdf,70818,5,False,1985,558,True,every;there;such;solution;arctan;differentiable;exists;points;therefore;lim,רציפות;sup_inf
infi,hw,hw/Exercise 2 solution.pdf,.pdf,76310,6,False,2232,919,True,sup;inf;points;bound;there;solution;lower;bounded;exists;prove,sup_inf
infi,hw,hw/Exercise 3 solution.pdf,.pdf,74742,8,False,2095,708,True,such;inf;sup;let;points;there;solution;prove;exists;every,sup_inf;גבולות
infi,hw,hw/Exercise 4 solution.pdf,.pdf,68872,5,False,1667,564,True,every;solution;points;let;student;such;lim;there;exists;defined,sup_inf
infi,hw,hw/Exercise 5 solution.pdf,.pdf,83593,8,False,2393,553,True,lim;let;points;such;exists;solution;every;there;prove;choose,sup_inf;גבולות
infi,hw,hw/Exercise 6 solution.pdf,.pdf,79998,7,False,2315,668,True,lim;every;points;solution;let;aol;max;there;exists;deleted,sup_inf;גבולות
infi,hw,hw/Exercise 7 solution.pdf,.pdf,79510,7,False,2095,698,True,lim;exists;there;such;every;points;solution;cos;sin;let,גבולות;sup_inf
infi,hw,hw/Exercise 8 solution.pdf,.pdf,81537,8,False,2470,696,True,lim;increasing;strictly;such;let;points;solution;there;exists;every,sup_inf;גבולות
infi,hw,hw/Exercise 9 solution.pdf,.pdf,80497,8,False,2310,670,True,continuous;such;there;exists;every;points;lim;therefore;solution;let,רציפות;sup_inf
infi,hw,hw/שאלות_מטלות_1-3.md,.md,10833,,False,1655,731,True,נקודות;sup;הוכיחו;שאלה;אז;נניח;לכל;frac;inf;חסומה,sup_inf
infi,hw,hw/שאלות_מטלות_10-12.pdf,.pdf,47782,5,False,1021,394,True,נקודות;הוכיחו;נניח;שאלה;לכל;גזירה;פונקציה;אז;תהי;lim,sup_inf;גבולות;רציפות
